address, ens, balance
0x000a607b0c5ea26b3f24e8c78738c56c61235111,10.eca.eth aka registeredanensnamesoyoucantseemywallet.eth, 2.557866122784747346
0x0002a1e702b0bfcdf8f9e10f5e1ce99bfeb4a111, 11.eca.eth, 2.530325683477583598
0x0001166915b5d94b443e65f7398323a1b8adf111, 13.eca.eth, 2.561905925469682062 
0x0007b980c03f153a94ddcd796f548ee216ded111, 15.eca.eth, 4.768162254092518529
0x000461a73d3985eef4923655782aa5d0de75c111, eca.eth aka profit aka https://x.com/FlippingProfits, 134.333642202323161039
0x000c1fa092591c77c86e3ebd39a4b82f52171111, 9.eca.eth aka godismypower.eth, 2.497511424539718528
0x0001de82c696b6b18f0a401de0463ebb3c631111, 4.eca.eth aka diddychangedmylife.eth, 2.497471159413747528
0x0000002e05c03f1940141972c7bf14dab3ad6111, 12.eca.eth, 2.543522734260988971
0x00034187c8d0d887821587573586f75624c5e111, send.eca.eth aka e.eca.eth aka yourlossismyprofit.eth, 2.497486354979286528
0x000a2e6e9552fdfd57275f882c369894e7957111, 8.eca.eth aka ropemaxxing.eth, 2.497495545492219528
0x00077705952c90b728c6d7dc450beb4429331111, 3.eca.eth aka *塹壕の戦士.eth aka jeetinthe.eca.eth, 2.497471159413747528
0x000f5446f20f27bc4826a32ec05235a4215e6111, 7.eca.eth aka jittleyang.eth, 2.497495545492219528
0x000ae1e2ba3624208300605d7919d6c4803c6111, 5.eca.eth aka apedintotheclogandnowimpoor.eth, 2.497512781855251528
0x0006d09df7b0e8dce98463b95439475fcec29111, 6.eca.eth aka iamamanualmevbotandibuybeforeyouandsellbeforeyou.eth, 2.497496233672740528
0x000014b76f74463b87ebcd8632a03d577c9b6111, 14.eca.eth, 2.547834937705004092
